orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,xavier_disk_reads_6g-sandbox-engine-worker-1,xavier_disk_reads_monitoring-stack-smart-plug-1,raspberrypi0_disk_reads_6g-sandbox-engine-worker-1,orin_memory_[none],orin_memory_[none],orin_memory_monitoring-stack-smart-plug-1,orin_memory_powerstorm_marketing-campaign_0_client,xavier_memory_[none],xavier_memory_ubuntu,xavier_memory_ubuntu,xavier_memory_ubuntu,raspberrypi0_memory_ubuntu,raspberrypi0_memory_ubuntu,raspberrypi0_memory_[none],orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,xavier_network_sent_6g-sandbox-engine-worker-1,xavier_network_sent_monitoring-stack-smart-plug-1,raspberrypi0_network_sent_6g-sandbox-engine-worker-1,raspberrypi0_network_sent_monitoring-stack-stream-events-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,xavier_network_received_6g-sandbox-engine-worker-1,xavier_network_received_monitoring-stack-smart-plug-1,raspberrypi0_network_received_6g-sandbox-engine-worker-1,raspberrypi0_network_received_monitoring-stack-stream-events-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,xavier_cpu_6g-sandbox-engine-worker-1,xavier_cpu_monitoring-stack-smart-plug-1,raspberrypi0_cpu_monitoring-stack-stream-events-1,orin_temp,xavier_temp,raspberrypi0_temp,orin_memory,xavier_memory,raspberrypi0_memory,orin_disk_writes,xavier_disk_writes,raspberrypi0_disk_writes,orin_disk_reads,xavier_disk_reads,raspberrypi0_disk_reads,orin_network_sent,xavier_network_sent,raspberrypi0_network_sent,orin_network_received,xavier_network_received,raspberrypi0_network_received,orin_power,xavier_power,raspberrypi0_power,orin_cpu,xavier_cpu,raspberrypi0_cpu
,,,0,0,,,,,,32681980,134009652,164144470,523202575,0,0,0,,,,,418625.6153134,1736.95346,72603.952,212.5644,,,,,415570.7798566,1039.75666,70618.754,168.8355,,,,,7.4602379,0.6680364,0.2766238,,40.8,62.809,,1071.21798,839.2406,,-3.2,-12,,0,0,,-518.802608,-231.190948,,14.9200492,18.2029808,,4.082,3.227,,21.7683168,7.1626766
,,,0,0,,,,,,32681980,134009652,164144470,523202575,0,0,0,,,,,418625.6153134,1736.95346,72603.952,212.5644,,,,,415570.7798566,1039.75666,70618.754,168.8355,,,,,7.4602379,0.6680364,0.2766238,,40.8,62.809,,1071.21798,839.2406,,-3.2,-12,,0,0,,-518.802608,-231.190948,,14.9200492,18.2029808,,4.082,3.227,,21.7683168,7.1626766
,,,0,0,,,,,,32681980,134009652,164144470,523202575,0,0,0,,,,,418625.6153134,1736.95346,72603.952,212.5644,,,,,415570.7798566,1039.75666,70618.754,168.8355,,,,,7.4602379,0.6680364,0.0482479,,40.8,62.809,,1071.21798,838.85076,,-3.2,-67.2,,0,0,,-518.802608,-225.1615878,,14.9200492,13.468583,,4.082,3.227,,21.7683168,5.8605952
,,,0,0,,,,,,32681980,134009652,164144470,523202575,0,0,0,,,,,418625.6153134,1736.95346,72603.952,212.5644,,,,,415570.7798566,1039.75666,70618.754,168.8355,,,,,7.4602379,0.6680364,0.0482479,,40.8,62.809,,1071.21798,838.85076,,-3.2,-67.2,,0,0,,-518.802608,-225.1615878,,14.9200492,13.468583,,4.082,3.227,,21.7683168,5.8605952
,,,0,0,,,,,,32681980,134009652,164144470,523202575,0,0,0,,,,,418625.6153134,1736.95346,72603.952,212.5644,,,,,415570.7798566,1039.75666,70618.754,168.8355,,,,,7.4602379,0.6680364,0.0482479,,40.8,62.809,,1071.21798,838.85076,,-3.2,-67.2,,0,0,,-518.802608,-225.1615878,,14.9200492,13.468583,,4.082,3.227,,21.7683168,5.8605952
,,,0,0,,,,,,32681980,136092880,164144470,523202575,0,0,0,,,,,392014.7097334,1234.24648,72603.952,212.5644,,,,,389127.0342366,672.64334,70618.754,168.8355,,,,,7.4602379,0.864571,0.0482479,,40.8,62.809,,1070.35468,838.85076,,-6.4000008,-67.2,,0,0,,-520.4577976,-225.1615878,,15.4218389,13.468583,,4.1276,3.227,,23.7552722,5.8605952
,,,0,0,,,,,,32681980,136092880,164144470,523202575,0,0,0,,,,,392014.7097334,1234.24648,72187.261,257.6242,,,,,389127.0342366,672.64334,70149.4011,223.3291,,,,,7.4602379,0.864571,0.0482479,,40.95,62.809,,1070.35468,838.85076,,-6.4000008,-67.2,,0,0,,-520.4577976,-225.1615878,,15.4218389,13.468583,,4.1276,3.227,,23.7552722,5.8605952
,,,0,0,,,,,,32681980,136092880,164144470,523202575,0,0,0,,,,,392014.7097334,1234.24648,72187.261,257.6242,,,,,389127.0342366,672.64334,70149.4011,223.3291,,,,,7.4602379,0.864571,0.2757382,,40.95,62.809,,1070.35468,836.07032,,-6.4000008,-7.2,,0,0,,-520.4577976,-228.4021474,,15.4218389,16.1136908,,4.1276,3.227,,23.7552722,7.0178016
,,,0,0,,,,,,32681980,136092880,164144470,523202575,0,0,0,,,,,392014.7097334,1234.24648,72187.261,257.6242,,,,,389127.0342366,672.64334,70149.4011,223.3291,,,,,7.4602379,0.864571,0.2757382,,40.95,62.809,,1070.35468,836.07032,,-6.4000008,-7.2,,0,0,,-520.4577976,-228.4021474,,15.4218389,16.1136908,,4.1276,3.227,,23.7552722,7.0178016
,,,0,0,,,,,,32681980,136092880,164144470,523202575,0,0,0,,,,,392014.7097334,1234.24648,72187.261,257.6242,,,,,389127.0342366,672.64334,70149.4011,223.3291,,,,,7.4602379,0.864571,0.2757382,,40.95,62.809,,1070.35468,836.07032,,-6.4000008,-7.2,,0,0,,-520.4577976,-228.4021474,,15.4218389,16.1136908,,4.1276,3.227,,23.7552722,7.0178016
