orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,server_113_disk_reads_6g-sandbox-engine-worker-1,server_114_disk_reads_6g-sandbox-engine-worker-1,server_115_disk_reads_6g-sandbox-engine-worker-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,server_113_memory_ubuntu,server_113_memory_ubuntu,server_114_memory_ubuntu,server_114_memory_ubuntu,server_115_memory_ubuntu,server_115_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,server_113_network_sent_6g-sandbox-engine-worker-1,server_114_network_sent_6g-sandbox-engine-worker-1,server_115_network_sent_6g-sandbox-engine-worker-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,server_113_network_received_6g-sandbox-engine-worker-1,server_114_network_received_6g-sandbox-engine-worker-1,server_115_network_received_6g-sandbox-engine-worker-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,server_113_cpu_6g-sandbox-engine-worker-1,server_114_cpu_6g-sandbox-engine-worker-1,server_115_cpu_6g-sandbox-engine-worker-1,orin_temp,orin_memory,server_113_memory,server_114_memory,server_115_memory,orin_disk_writes,server_113_disk_writes,server_114_disk_writes,server_115_disk_writes,orin_disk_reads,server_113_disk_reads,server_114_disk_reads,server_115_disk_reads,orin_network_sent,server_113_network_sent,server_114_network_sent,server_115_network_sent,orin_network_received,server_113_network_received,server_114_network_received,server_115_network_received,orin_power,orin_cpu,server_113_cpu,server_114_cpu,server_115_cpu
0,0,0,,0,0,0,0,230085420,78394980,1123477100,1124749300,,168837100,20769453.3333333,101697948,169870666.666667,71809025,168851450,9243.265061,5459.238954,1543.13738,,174309,26414.9617,68367.2065534,31499.4737675,300003.8625187,3300.1081,984.10692,,74788.22,26438.4565,68007.63902,31383.0640625,0.8083092,9.2049773,1.0665156,2.3326858,0.8567451,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5152.2384,611.21328,635.33516,556.81092,-84.4028972,-584.169836,-72.3643654,-215.122144,0,0,0,0,-84.122462,-204.7118484,-210.1718864,-201.3114134,1512.5206,10.8038018,11.7169708,7.1835598,10.272,28.1811456,44.3414918,36.6820919,49.8320074
0,0,0,,0,0,0,0,230085420,78394980,1123477100,1124749300,,168837100,78302414,128793804,169870666.666667,71809025,168851450,9243.265061,5459.238954,1543.13738,,174309,51006.561318,63088.6804834,31499.4737675,300003.8625187,3300.1081,984.10692,,74788.22,51031.2564,62789.03041,31383.0640625,0.8083092,9.2049773,1.0665156,2.3326858,0.8567451,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5152.2384,663.8297,661.61798,556.81092,-84.4028972,-42.855332,-41.106832,-215.122144,0,0,0,0,-84.122462,-211.0803176,-198.411367,-201.3114134,1512.5206,13.2155506,7.3063626,7.1835598,10.272,28.1811456,39.3600146,8.7663928,49.8320074
0,0,0,,0,0,0,0,230085420,78394980,1123477100,1124749300,,168837100,78302414,128793804,169870666.666667,71809025,168851450,9243.265061,5459.238954,1543.13738,,174309,51006.561318,63088.6804834,31499.4737675,300003.8625187,3300.1081,984.10692,,74788.22,51031.2564,62789.03041,31383.0640625,0.8083092,9.2049773,1.0665156,2.3326858,0.8567451,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5152.2384,663.8297,661.61798,556.81092,-84.4028972,-42.855332,-41.106832,-215.122144,0,0,0,0,-84.122462,-211.0803176,-198.411367,-201.3114134,1512.5206,13.2155506,7.3063626,7.1835598,10.272,28.1811456,39.3600146,8.7663928,49.8320074
0,0,0,,0,0,0,0,230085420,78394980,1123477100,1124749300,,168837100,78302414,128793804,169870666.666667,71809025,168851450,9243.265061,5459.238954,1543.13738,,174309,51006.561318,63088.6804834,31499.4737675,300003.8625187,3300.1081,984.10692,,74788.22,51031.2564,62789.03041,31383.0640625,0.8083092,9.2049773,1.0665156,2.3326858,0.8567451,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5152.2384,663.8297,661.61798,556.81092,-84.4028972,-42.855332,-41.106832,-215.122144,0,0,0,0,-84.122462,-211.0803176,-198.411367,-201.3114134,1512.5206,13.2155506,7.3063626,7.1835598,10.272,28.1811456,39.3600146,8.7663928,49.8320074
0,0,0,,0,0,0,0,230085420,78394980,1123477100,1124749300,,168837100,78302414,128793804,169870666.666667,71809025,168851450,9243.265061,5459.238954,1543.13738,,174309,51006.561318,63088.6804834,31499.4737675,300003.8625187,3300.1081,984.10692,,74788.22,51031.2564,62789.03041,31383.0640625,0.8083092,9.2049773,1.0665156,2.3326858,0.8567451,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5152.2384,663.8297,661.61798,556.81092,-84.4028972,-42.855332,-41.106832,-215.122144,0,0,0,0,-84.122462,-211.0803176,-198.411367,-201.3114134,1512.5206,13.2155506,7.3063626,7.1835598,10.272,28.1811456,39.3600146,8.7663928,49.8320074
0,0,0,,0,0,0,0,255158680,78393340,1123671240,1124749300,44042241,168837100,78302414,128793804,169870666.666667,85071462,168851450,20271.886511,2735.18464,1639.09808,0,174309,51006.561318,63088.6804834,10345.3711035,236709.8940785,2234.16514,943.5077,33.218725,74788.22,51031.2564,62789.03041,10349.5575725,0.4580256,6.8645141,0.6932205,18.1073851,0.4580631,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5228.7834,663.8297,661.61798,596.67736,-548.861296,-42.855332,-41.106832,-61.92113,0,0,0,0,-81.75162,-211.0803176,-198.411367,-206.1045412,1682.1843,13.2155506,7.3063626,13.4949128,10.272,34.6493678,39.3600146,8.7663928,32.1734713
0,0,0,,0,0,0,0,255158680,78393340,1123671240,1124749300,44042241,168837100,134800180,132879360,169870666.666667,85071462,168851450,20271.886511,2735.18464,1639.09808,0,174309,73520.76684,68510.8197084,10345.3711035,236709.8940785,2234.16514,943.5077,33.218725,74788.22,73301.93592,68145.550395,10349.5575725,0.4580256,6.8645141,0.6932205,18.1073851,0.4580631,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5228.7834,699.58514,671.065425,596.67736,-548.861296,-69.600008,-8.64415,-61.92113,0,0,0,0,-81.75162,-201.9074914,-486.943804,-206.1045412,1682.1843,11.0339696,12.8827908,13.4949128,10.272,34.6493678,14.0793577,12.0114775,32.1734713
0,0,0,,0,0,0,0,255158680,78393340,1123671240,1124749300,44042241,168837100,134800180,132879360,169870666.666667,85071462,168851450,20271.886511,2735.18464,1639.09808,0,174309,73520.76684,68510.8197084,10345.3711035,236709.8940785,2234.16514,943.5077,33.218725,74788.22,73301.93592,68145.550395,10349.5575725,0.4580256,6.8645141,0.6932205,18.1073851,0.4580631,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5228.7834,699.58514,671.065425,596.67736,-548.861296,-69.600008,-8.64415,-61.92113,0,0,0,0,-81.75162,-201.9074914,-486.943804,-206.1045412,1682.1843,11.0339696,12.8827908,13.4949128,10.272,34.6493678,14.0793577,12.0114775,32.1734713
0,0,0,,0,0,0,0,255158680,78393340,1123671240,1124749300,44042241,168837100,134800180,132879360,169870666.666667,85071462,168851450,20271.886511,2735.18464,1639.09808,0,174309,73520.76684,68510.8197084,10345.3711035,236709.8940785,2234.16514,943.5077,33.218725,74788.22,73301.93592,68145.550395,10349.5575725,0.4580256,6.8645141,0.6932205,18.1073851,0.4580631,,35.0272872,1.3871524,1.4857136,0.7139145,42.4893333333333,5228.7834,699.58514,671.065425,596.67736,-548.861296,-69.600008,-8.64415,-61.92113,0,0,0,0,-81.75162,-201.9074914,-486.943804,-206.1045412,1682.1843,11.0339696,12.8827908,13.4949128,10.272,34.6493678,14.0793577,12.0114775,32.1734713
0,0,0,,0,0,0,0,255158680,78393340,1123671240,1124749300,44042241,168837100,134800180,132879360,169870666.666667,85071462,168851450,20271.886511,2735.18464,1639.09808,0,174309,73520.76684,68510.8197084,10345.3711035,236709.8940785,2234.16514,943.5077,33.218725,74788.22,73301.93592,68145.550395,10349.5575725,0.4580256,6.8645141,0.6932205,18.1073851,0.4580631,,35.0272872,1.3871524,1.4857136,0.7139145,42.5726666666667,5228.7834,699.58514,671.065425,596.67736,-548.861296,-69.600008,-8.64415,-61.92113,0,0,0,0,-81.75162,-201.9074914,-486.943804,-206.1045412,1682.1843,11.0339696,12.8827908,13.4949128,10.272,34.6493678,14.0793577,12.0114775,32.1734713
0,0,0,0,0,0,0,0,252720740,78393340,1123875220,1124749300,201873002,168837100,134800180,132879360,169870666.666667,107250484,168851450,18799.086285,6092.126238,1550.66678,9664.37236,174309,73520.76684,68510.8197084,51904.9254875,3697459.1802125,3747.833588,966.26012,3316642.38778,74788.22,73301.93592,68145.550395,51542.1074825,0.8094598,6.6518347,0.9151386,3.2880658,0.620083,,35.0272872,1.3871524,1.4857136,0.7139145,42.5726666666667,5376.0962,699.58514,671.065425,603.9703,-3381.9334074,-69.600008,-8.64415,-25.6,0,0,0,0,-198.280614,-201.9074914,-486.943804,-204.1949254,29093.1984,11.0339696,12.8827908,11.0878812,11.43,31.1877394,14.0793577,12.0114775,13.4485772
